"Letališki potniški in blagovni promet glede na prihod/odhod letal ter redne/posebne prevoze po državah prihoda/odhoda letal, Ljubljana, Letališèe Jožeta Puènika, meseèno"

"MESEC";"PRIHOD/ODHOD LETAL";"DRŽAVA PRIHODA/ODHODA LETAL";"Potniki"
"2004M05";"Odhod letal";"Libanon";0
"2004M05";"Odhod letal";"Libijska Arabska Džamahirija";0
"2004M05";"Odhod letal";"Litva";0
"2004M05";"Odhod letal";"Luksemburg";3
"2004M05";"Odhod letal";"Madžarska";713
"2004M05";"Odhod letal";"Severna Makedonija";1880
"2004M05";"Odhod letal";"Malta";0
"2004M05";"Odhod letal";"Maroko";0
"2004M05";"Odhod letal";"Moldavija (Republika)";0
"2004M05";"Odhod letal";"Nemèija";7530
"2004M05";"Odhod letal";"Nigerija";0
"2004M05";"Odhod letal";"Nizozemska";514
"2004M05";"Odhod letal";"Norveška";0
"2004M05";"Odhod letal";"Oman";0
"2004M05";"Odhod letal";"Pakistan";0
"2004M05";"Odhod letal";"Poljska";86
"2004M05";"Odhod letal";"Portugalska";4
"2004M05";"Odhod letal";"Romunija";68
"2004M05";"Odhod letal";"Ruska federacija";1290
"2004M05";"Odhod letal";"Saudska Arabija";0
"2004M05";"Odhod letal";"Sirska Arabska Republika";0
"2004M05";"Odhod letal";"Slovaška";0
"2004M05";"Odhod letal";"Slovenija";0
"2004M05";"Odhod letal";"Somalija";0
"2004M05";"Odhod letal";"Srbija";0
"2004M05";"Odhod letal";"Srbija in Èrna Gora";2713
"2004M05";"Odhod letal";"Sudan";0
"2004M05";"Odhod letal";"Španija";0
"2004M05";"Odhod letal";"Švedska";15
"2004M05";"Odhod letal";"Švica";1133
"2004M05";"Odhod letal";"Tanzanija";0
"2004M05";"Odhod letal";"Tunizija";807
"2004M05";"Odhod letal";"Turèija";4399
"2004M05";"Odhod letal";"Turkmenistan";0
"2004M05";"Odhod letal";"Ukrajina";12
"2004M05";"Odhod letal";"Uzbekistan";0
"2004M05";"Odhod letal";"Združene države";0
"2004M05";"Odhod letal";"Združeni arabski emirati";0
"2004M05";"Odhod letal";"Združeno kraljestvo";5514
"2004M05";"Odhod letal";"Neznano";0
"2004M06";"Odhod letal";"Države prihoda/odhoda letal - SKUPAJ";55096
"2004M06";"Odhod letal";"Afganistan";0
"2004M06";"Odhod letal";"Albanija";461
"2004M06";"Odhod letal";"Alžirija";0
"2004M06";"Odhod letal";"Armenija";0
"2004M06";"Odhod letal";"Avstrija";3433
"2004M06";"Odhod letal";"Azerbajdžan";0
"2004M06";"Odhod letal";"Belgija";1497
"2004M06";"Odhod letal";"Belorusija";0
"2004M06";"Odhod letal";"Bolgarija";981
"2004M06";"Odhod letal";"Bosna in Hercegovina";1202
"2004M06";"Odhod letal";"Ciper";0
"2004M06";"Odhod letal";"Èad";0
"2004M06";"Odhod letal";"Èeška republika";998
"2004M06";"Odhod letal";"Èrna Gora";0
"2004M06";"Odhod letal";"Danska";306
"2004M06";"Odhod letal";"Egipt";0
"2004M06";"Odhod letal";"Estonija";0
"2004M06";"Odhod letal";"Finska";0
"2004M06";"Odhod letal";"Francija";3497
"2004M06";"Odhod letal";"Gibraltar";0
"2004M06";"Odhod letal";"Grèija";3534
"2004M06";"Odhod letal";"Gruzija";0
"2004M06";"Odhod letal";"Hrvaška";1414
"2004M06";"Odhod letal";"Iran (Islamska republika)";0
"2004M06";"Odhod letal";"Irska";409
"2004M06";"Odhod letal";"Islandija";0
"2004M06";"Odhod letal";"Italija";6
"2004M06";"Odhod letal";"Izrael";1322
"2004M06";"Odhod letal";"Japonska";0
"2004M06";"Odhod letal";"Jordanija";0
"2004M06";"Odhod letal";"Južna Afrika";0
"2004M06";"Odhod letal";"Kanada";0
"2004M06";"Odhod letal";"Katar";0
"2004M06";"Odhod letal";"Kazahstan";0
"2004M06";"Odhod letal";"Kirgizistan";0
"2004M06";"Odhod letal";"Kitajska (Ljudska republika)";0
"2004M06";"Odhod letal";"Kosovo";0
"2004M06";"Odhod letal";"Kuvajt";0
"2004M06";"Odhod letal";"Latvija";0
"2004M06";"Odhod letal";"Libanon";0
"2004M06";"Odhod letal";"Libijska Arabska Džamahirija";0
"2004M06";"Odhod letal";"Litva";0
"2004M06";"Odhod letal";"Luksemburg";11
"2004M06";"Odhod letal";"Madžarska";1023
"2004M06";"Odhod letal";"Severna Makedonija";2251
"2004M06";"Odhod letal";"Malta";332
"2004M06";"Odhod letal";"Maroko";5
"2004M06";"Odhod letal";"Moldavija (Republika)";19
"2004M06";"Odhod letal";"Nemèija";8615
"2004M06";"Odhod letal";"Nigerija";0
"2004M06";"Odhod letal";"Nizozemska";566
"2004M06";"Odhod letal";"Norveška";0
"2004M06";"Odhod letal";"Oman";0
"2004M06";"Odhod letal";"Pakistan";0
"2004M06";"Odhod letal";"Poljska";16
"2004M06";"Odhod letal";"Portugalska";146
"2004M06";"Odhod letal";"Romunija";308
"2004M06";"Odhod letal";"Ruska federacija";1201
"2004M06";"Odhod letal";"Saudska Arabija";0
"2004M06";"Odhod letal";"Sirska Arabska Republika";0
"2004M06";"Odhod letal";"Slovaška";0
"2004M06";"Odhod letal";"Slovenija";9
"2004M06";"Odhod letal";"Somalija";0
"2004M06";"Odhod letal";"Srbija";0
"2004M06";"Odhod letal";"Srbija in Èrna Gora";4166
"2004M06";"Odhod letal";"Sudan";0
"2004M06";"Odhod letal";"Španija";4
"2004M06";"Odhod letal";"Švedska";27
"2004M06";"Odhod letal";"Švica";1035
"2004M06";"Odhod letal";"Tanzanija";0
"2004M06";"Odhod letal";"Tunizija";2310
"2004M06";"Odhod letal";"Turèija";6057
"2004M06";"Odhod letal";"Turkmenistan";0
"2004M06";"Odhod letal";"Ukrajina";0
"2004M06";"Odhod letal";"Uzbekistan";0
"2004M06";"Odhod letal";"Združene države";0
"2004M06";"Odhod letal";"Združeni arabski emirati";0
"2004M06";"Odhod letal";"Združeno kraljestvo";7935
"2004M06";"Odhod letal";"Neznano";0
"2004M07";"Odhod letal";"Države prihoda/odhoda letal - SKUPAJ";66452
"2004M07";"Odhod letal";"Afganistan";0
"2004M07";"Odhod letal";"Albanija";659
